pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (1472s, held by pid 4615)
· waiting for capture lock (1482s, held by pid 4615)
· waiting for capture lock (1493s, held by pid 4615)
· waiting for capture lock (1504s, held by pid 4615)
· waiting for capture lock (1514s, held by pid 4615)
· waiting for capture lock (1525s, held by pid 4615)
· waiting for capture lock (1535s, held by pid 4615)
· waiting for capture lock (1545s, held by pid 4615)
· waiting for capture lock (1555s, held by pid 4615)
· waiting for capture lock (1565s, held by pid 4615)
· waiting for capture lock (1576s, held by pid 4615)
· waiting for capture lock (1587s, held by pid 4615)
· waiting for capture lock (1597s, held by pid 4615)
· waiting for capture lock (1607s, held by pid 4615)
· waiting for capture lock (1618s, held by pid 4615)
· waiting for capture lock (1628s, held by pid 4615)
· waiting for capture lock (1638s, held by pid 4615)
· waiting for capture lock (1649s, held by pid 4615)
· waiting for capture lock (1659s, held by pid 4615)
· waiting for capture lock (1670s, held by pid 4615)
· waiting for capture lock (1680s, held by pid 4615)
· waiting for capture lock (1691s, held by pid 4615)
· waiting for capture lock (1701s, held by pid 4615)
· waiting for capture lock (1711s, held by pid 4615)
· waiting for capture lock (1722s, held by pid 4615)
· waiting for capture lock (1732s, held by pid 4615)
· waiting for capture lock (1743s, held by pid 4615)
· waiting for capture lock (1753s, held by pid 4615)
· waiting for capture lock (1764s, held by pid 4615)
· waiting for capture lock (1774s, held by pid 4615)
· waiting for capture lock (1784s, held by pid 4615)
· waiting for capture lock (1794s, held by pid 4615)
· waiting for capture lock (1805s, held by pid 4615)
· waiting for capture lock (1816s, held by pid 4615)
· waiting for capture lock (1826s, held by pid 4615)
· waiting for capture lock (1837s, held by pid 4615)
· waiting for capture lock (1847s, held by pid 4615)
· waiting for capture lock (1858s, held by pid 4615)
· waiting for capture lock (1869s, held by pid 4615)
· waiting for capture lock (1879s, held by pid 4615)
· waiting for capture lock (1889s, held by pid 4615)
· waiting for capture lock (1899s, held by pid 4615)
· waiting for capture lock (1910s, held by pid 4615)
· waiting for capture lock (1921s, held by pid 4615)
· waiting for capture lock (1931s, held by pid 4615)
· waiting for capture lock (1942s, held by pid 4615)
· waiting for capture lock (1952s, held by pid 4615)
