· waiting for capture lock (10s, held by pid 19987)
· waiting for capture lock (20s, held by pid 19987)
· waiting for capture lock (30s, held by pid 19987)
· waiting for capture lock (41s, held by pid 19987)
· waiting for capture lock (51s, held by pid 19987)
· waiting for capture lock (62s, held by pid 19987)
· waiting for capture lock (73s, held by pid 19987)
· waiting for capture lock (83s, held by pid 19987)
· waiting for capture lock (94s, held by pid 19987)
· waiting for capture lock (104s, held by pid 19987)
· waiting for capture lock (114s, held by pid 19987)
· waiting for capture lock (125s, held by pid 19987)
· waiting for capture lock (136s, held by pid 19987)
· waiting for capture lock (146s, held by pid 19987)
· waiting for capture lock (156s, held by pid 19987)
· waiting for capture lock (167s, held by pid 19987)
· waiting for capture lock (178s, held by pid 19987)
· waiting for capture lock (188s, held by pid 19987)
· waiting for capture lock (198s, held by pid 19987)
· waiting for capture lock (209s, held by pid 19987)
· waiting for capture lock (220s, held by pid 19987)
· waiting for capture lock (230s, held by pid 19987)
· waiting for capture lock (240s, held by pid 19987)
· waiting for capture lock (251s, held by pid 19987)
· waiting for capture lock (262s, held by pid 19987)
