orig  /home/user/Demo/src/render/PostFX.js  sha256 c37d5c2df2733ca2202f65d35fdf82bb44d58f48da9b5b8b460294b0f1f36388
cand  /home/user/Demo/progress/records/critic10postfx/PostFX.cand.js sha256 cd8ff982463c0ed0b901198f245011598e1a89a886e65b8883d9cb3b5a2e55c5
· waiting for capture lock (1445s, held by pid 25087)
· waiting for capture lock (1456s, held by pid 25087)
· waiting for capture lock (1466s, held by pid 25087)
· waiting for capture lock (1477s, held by pid 25087)
· waiting for capture lock (1487s, held by pid 25087)
· waiting for capture lock (1498s, held by pid 25087)
· waiting for capture lock (1509s, held by pid 25087)
· waiting for capture lock (1519s, held by pid 25087)
· waiting for capture lock (1529s, held by pid 25087)
· waiting for capture lock (1540s, held by pid 25087)
· waiting for capture lock (1551s, held by pid 25087)
· waiting for capture lock (1562s, held by pid 25087)
· waiting for capture lock (1572s, held by pid 25087)
· waiting for capture lock (1583s, held by pid 25087)
· waiting for capture lock (1593s, held by pid 25087)
· waiting for capture lock (1603s, held by pid 25087)
· waiting for capture lock (1614s, held by pid 30311)
· waiting for capture lock (1625s, held by pid 30311)
· waiting for capture lock (1636s, held by pid 30311)
· waiting for capture lock (1647s, held by pid 30311)
· waiting for capture lock (1657s, held by pid 30311)
· waiting for capture lock (1668s, held by pid 30311)
· waiting for capture lock (1678s, held by pid 30311)
· waiting for capture lock (1689s, held by pid 30311)
· waiting for capture lock (1700s, held by pid 30311)
· waiting for capture lock (1710s, held by pid 30311)
· waiting for capture lock (1721s, held by pid 30311)
· waiting for capture lock (1731s, held by pid 30311)
· waiting for capture lock (1741s, held by pid 30311)
· waiting for capture lock (1752s, held by pid 30311)
· waiting for capture lock (1763s, held by pid 30311)
· waiting for capture lock (1773s, held by pid 30311)
· waiting for capture lock (1784s, held by pid 30311)
· waiting for capture lock (1795s, held by pid 30311)
· waiting for capture lock (1805s, held by pid 30311)
· waiting for capture lock (1816s, held by pid 30311)
· waiting for capture lock (1827s, held by pid 30311)
· waiting for capture lock (1837s, held by pid 30311)
· waiting for capture lock (1848s, held by pid 30311)
· waiting for capture lock (1859s, held by pid 30311)
· waiting for capture lock (1869s, held by pid 30311)
· waiting for capture lock (1880s, held by pid 30311)
· waiting for capture lock (1890s, held by pid 30311)
· waiting for capture lock (1901s, held by pid 30311)
· waiting for capture lock (1912s, held by pid 30311)
· waiting for capture lock (1923s, held by pid 30311)
· waiting for capture lock (1933s, held by pid 30311)
· waiting for capture lock (1943s, held by pid 30311)
· waiting for capture lock (1954s, held by pid 30311)
· waiting for capture lock (1964s, held by pid 30311)
· waiting for capture lock (1975s, held by pid 30311)
· waiting for capture lock (1985s, held by pid 30311)
· waiting for capture lock (1996s, held by pid 30311)
· waiting for capture lock (2006s, held by pid 30311)
· waiting for capture lock (2017s, held by pid 30311)
· waiting for capture lock (2027s, held by pid 30311)
· waiting for capture lock (2038s, held by pid 30311)
· waiting for capture lock (2048s, held by pid 30311)
· waiting for capture lock (2059s, held by pid 30311)
· waiting for capture lock (2069s, held by pid 30311)
· waiting for capture lock (2080s, held by pid 30311)
· waiting for capture lock (2090s, held by pid 30311)
· waiting for capture lock (2101s, held by pid 30311)
· waiting for capture lock (2112s, held by pid 30311)
· waiting for capture lock (2123s, held by pid 30311)
· waiting for capture lock (2133s, held by pid 30311)
· waiting for capture lock (2143s, held by pid 30311)
· waiting for capture lock (2154s, held by pid 30311)
· waiting for capture lock (2164s, held by pid 30311)
· waiting for capture lock (2174s, held by pid 30311)
· waiting for capture lock (2185s, held by pid 30311)
· waiting for capture lock (2195s, held by pid 30311)
· waiting for capture lock (2205s, held by pid 30311)
· waiting for capture lock (2216s, held by pid 30311)
· waiting for capture lock (2226s, held by pid 30311)
· waiting for capture lock (2237s, held by pid 30311)
· waiting for capture lock (2248s, held by pid 30311)
· waiting for capture lock (2258s, held by pid 30311)
· waiting for capture lock (2268s, held by pid 30311)
· waiting for capture lock (2279s, held by pid 30311)
· waiting for capture lock (2290s, held by pid 30311)
