# ---- run log preserved by tools/keeplog.sh ----
# run:      arris2-off
# source:   /tmp/claude-0/-home-user-Demo/94022f73-a328-5e86-b2ec-031aa9c720ce/scratchpad/arris2-off.log
# copied:   2026-08-03T12:01:20Z
# tree at copy time (NOT the run's build): 76611f2 — working tree DIRTY
#   For the commit this run actually rendered, read shots/arris2-off/report.json or arris2-off.json.
# NOTE: this is a COPY. The scratchpad original is ephemeral and may already be gone.
# ------------------------------------------------
· waiting for capture lock (1407s, held by pid 4955)
· waiting for capture lock (1418s, held by pid 4955)
· waiting for capture lock (1428s, held by pid 4955)
· waiting for capture lock (1439s, held by pid 4955)
· waiting for capture lock (1449s, held by pid 4955)
· waiting for capture lock (1459s, held by pid 4955)
· waiting for capture lock (1470s, held by pid 4955)
· waiting for capture lock (1481s, held by pid 4955)
· waiting for capture lock (1491s, held by pid 4955)
· waiting for capture lock (1501s, held by pid 4955)
· waiting for capture lock (1511s, held by pid 4955)
· waiting for capture lock (1522s, held by pid 4955)
· waiting for capture lock (1533s, held by pid 4955)
· waiting for capture lock (1544s, held by pid 4955)
· waiting for capture lock (1554s, held by pid 4955)
· waiting for capture lock (1564s, held by pid 4955)
· waiting for capture lock (1575s, held by pid 4955)
· waiting for capture lock (1586s, held by pid 4955)
· waiting for capture lock (1596s, held by pid 4955)
· waiting for capture lock (1606s, held by pid 4955)
· waiting for capture lock (1617s, held by pid 4955)
· waiting for capture lock (1627s, held by pid 4955)
· waiting for capture lock (1637s, held by pid 4955)
· waiting for capture lock (1647s, held by pid 4955)
· waiting for capture lock (1658s, held by pid 4955)
· waiting for capture lock (1669s, held by pid 4955)
· waiting for capture lock (1679s, held by pid 4955)
· waiting for capture lock (1690s, held by pid 4955)
· waiting for capture lock (1700s, held by pid 4955)
· waiting for capture lock (1711s, held by pid 4955)
· waiting for capture lock (1722s, held by pid 4955)
· waiting for capture lock (1733s, held by pid 4955)
· waiting for capture lock (1743s, held by pid 4955)
· waiting for capture lock (1753s, held by pid 4955)
· waiting for capture lock (1764s, held by pid 4955)
· waiting for capture lock (1774s, held by pid 4955)
· waiting for capture lock (1785s, held by pid 4955)
· waiting for capture lock (1795s, held by pid 4955)
· waiting for capture lock (1806s, held by pid 4955)
· waiting for capture lock (1817s, held by pid 4955)
· waiting for capture lock (1827s, held by pid 4955)
· waiting for capture lock (1839s, held by pid 4955)
· waiting for capture lock (1849s, held by pid 4955)
· waiting for capture lock (1859s, held by pid 4955)
· waiting for capture lock (1870s, held by pid 4955)
· waiting for capture lock (1880s, held by pid 4955)
· waiting for capture lock (1891s, held by pid 4955)
· waiting for capture lock (1901s, held by pid 4955)
· waiting for capture lock (1911s, held by pid 4955)
· waiting for capture lock (1922s, held by pid 4955)
· waiting for capture lock (1932s, held by pid 4955)
· waiting for capture lock (1943s, held by pid 4955)
· waiting for capture lock (1953s, held by pid 4955)
· waiting for capture lock (1964s, held by pid 4955)
· waiting for capture lock (1975s, held by pid 4955)
· waiting for capture lock (1986s, held by pid 4955)
· waiting for capture lock (1997s, held by pid 4955)
· waiting for capture lock (2007s, held by pid 4955)
· waiting for capture lock (2018s, held by pid 4955)
· waiting for capture lock (2029s, held by pid 4955)
· waiting for capture lock (2039s, held by pid 4955)
· waiting for capture lock (2050s, held by pid 4955)
· waiting for capture lock (2060s, held by pid 4955)
· waiting for capture lock (2071s, held by pid 4955)
· waiting for capture lock (2082s, held by pid 4955)
· waiting for capture lock (2092s, held by pid 4955)
· waiting for capture lock (2103s, held by pid 4955)
· waiting for capture lock (2114s, held by pid 4955)
· waiting for capture lock (2124s, held by pid 4955)
· waiting for capture lock (2135s, held by pid 4955)
· waiting for capture lock (2145s, held by pid 4955)
· waiting for capture lock (2156s, held by pid 4955)
· waiting for capture lock (2167s, held by pid 4955)
· waiting for capture lock (2178s, held by pid 4955)
· waiting for capture lock (2189s, held by pid 4955)
· waiting for capture lock (2200s, held by pid 4955)
· waiting for capture lock (2210s, held by pid 4955)
· waiting for capture lock (2221s, held by pid 4955)
· waiting for capture lock (2232s, held by pid 4955)
· waiting for capture lock (2243s, held by pid 4955)
· waiting for capture lock (2253s, held by pid 4955)
· waiting for capture lock (2264s, held by pid 4955)
· waiting for capture lock (2274s, held by pid 4955)
· waiting for capture lock (2285s, held by pid 4955)
· waiting for capture lock (2296s, held by pid 4955)
· waiting for capture lock (2306s, held by pid 4955)
· waiting for capture lock (2316s, held by pid 4955)
· waiting for capture lock (2327s, held by pid 4955)
· waiting for capture lock (2337s, held by pid 4955)
· waiting for capture lock (2347s, held by pid 4955)
· waiting for capture lock (2358s, held by pid 4955)
· waiting for capture lock (2368s, held by pid 4955)
· waiting for capture lock (2378s, held by pid 4955)
· waiting for capture lock (2389s, held by pid 4955)
· waiting for capture lock (2400s, held by pid 4955)
· waiting for capture lock (2411s, held by pid 4955)
· waiting for capture lock (2421s, held by pid 4955)
· waiting for capture lock (2431s, held by pid 4955)
· waiting for capture lock (2442s, held by pid 4955)
· waiting for capture lock (2453s, held by pid 4955)
· waiting for capture lock (2464s, held by pid 4955)
· waiting for capture lock (2475s, held by pid 4955)
