# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
INVISIBLE	player	1	18	-62	1.05	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	18	-54	-0.05	1.2	-1	-1	0			-1	0
INVISIBLE	player+guard	1	18	-10	0	0.2	1.36	2.12	1	props_bronze	courtyard_ring	1	0
INVISIBLE	player+guard	1	18	8	0	0.17	1.38	1.98	1.03	props_bronze	courtyard_ring	0	-1
INVISIBLE	player	1	18	20	0	0.17	1.38	2.24	1.03	props_bronze		0	1
INVISIBLE	player	7	20.43	-76.57	5.66	1.2	-1	-1	0			1	0
INVISIBLE	player	1	19	-63	1.08	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	19	-55	-0.05	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	20	-72	5.15	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	20	-68	2.82	1.17	-1	-1	0.03			1	0
INVISIBLE	player	1	20	-60	1.39	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	20	-12	0	0.18	1.38	2.09	1.02	props_bronze		0	1
INVISIBLE	player	1	20	-8	0	0.18	1.37	2.01	1.02	props_bronze		0	-1
THROUGH-ART	player	5	21	-2.8	0	2.24	0.09	2.33	1.2	arch:court:sandstone_block		0	1
INVISIBLE	player	1	20	6	0	0.19	1.36	1.95	1.01	props_bronze		-1	0
THROUGH-ART	player	1	20	32	9.43	0.09	0.64	0.73	1.19	arch:court:bronze_dark		1	0
THROUGH-ART	player	1	20	34	9.43	0.03	0.55	0.58	1.2	arch:court:bronze_dark		1	0
THROUGH-ART	player	2	20.5	37	0.04	2.05	0.3	2.35	1.19	sand_ring0		0	1
INVISIBLE	player	1	21	-69	3.48	1.15	-1	-1	0.05			1	0
THROUGH-ART	player	3	21	-12	0	0.66	0.25	0.91	1.2	props_rope		0	1
INVISIBLE	player	6	21.67	28.17	8.93	1.2	-1	-1	0			1	0
INVISIBLE	player	1	22	-78	5.91	1.2	-1	-1	0			0	-1
INVISIBLE	player	5	24	-72	5.68	1.2	1.42	1.42	0	sand_ring1		1	0
INVISIBLE	player	1	22	-70	4.23	1.17	-1	-1	0.03			1	0
INVISIBLE	player	1	22	-62	1.15	1.2	1.45	1.45	0	sand_ring1		0	1
THROUGH-ART	player	3	22	28	8.93	0.28	0.65	0.93	1.2	arch:court:bronze_dark		0	1
INVISIBLE	player	1	23	-63	1.17	1.2	-1	-1	0			0	1
THROUGH-ART	player+guard	1	23	26	9	0.18	0.34	0.52	1.2	arch:court:bronze_dark	architrave_ledge	-1	0
INVISIBLE	player	7	25.43	-76.43	6.09	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	24	-67	2.44	0.05	1.46	1.46	1.15	sand_ring1		1	0
INVISIBLE	player	2	24.5	-62	1.15	0.33	2.18	2.18	0.87	sand_ring1		1	0
INVISIBLE	player	5	25.4	-60	1.37	1.2	-1	-1	0			0	-1
THROUGH-ART	player	1	24	-52	13	0.48	0.24	0.72	1.2	arch:hall:hieroglyph_gilded		-1	0
THROUGH-ART	player	1	24	-16	13	0.48	0.24	0.72	1.2	arch:hall:hieroglyph_gilded		-1	0
THROUGH-ART	player	2	25.5	-59	1.36	1.17	0.55	1.72	1.2	sand_ring1		0	1
INVISIBLE	player	2	26	-51.5	-0.03	0.83	-1	-1	0.37			-1	0
INVISIBLE	player	1	26	-49	-0.02	0.46	-1	-1	0.74			0	1
INVISIBLE	player	1	26	-47	-0.05	0.46	-1	-1	0.74			0	-1
INVISIBLE	player	1	26	-45	-0.04	0.44	-1	-1	0.76			0	1
INVISIBLE	player	1	26	-43	0	0.49	-1	-1	0.71			0	-1
INVISIBLE	player	1	26	-41	0.01	0.49	-1	-1	0.71			0	1
INVISIBLE	player	1	26	-39	0.06	0.51	-1	-1	0.69			0	-1
INVISIBLE	player	3	26	-36	0.13	1.05	-1	-1	0.15			0	-1
INVISIBLE	player	1	26	-33	0.13	0.53	-1	-1	0.67			0	1
INVISIBLE	player	1	26	-31	0.11	0.53	-1	-1	0.67			0	-1
INVISIBLE	player	3	26	-28	0.1	1.04	-1	-1	0.16			0	1
INVISIBLE	player	1	26	-25	0.12	0.53	-1	-1	0.67			0	1
INVISIBLE	player	3	26	-22	0.12	1.02	-1	-1	0.18			0	-1
INVISIBLE	player	1	26	-19	0.09	0.53	-1	-1	0.67			0	-1
INVISIBLE	player	2	26	-16.5	0.04	0.54	-1	-1	0.66			-1	0
INVISIBLE	player	3	28	-77	6.83	0.25	-1	-1	0.95			-1	0
INVISIBLE	player	1	28	-72	6.53	1.2	-1	-1	0			0	-1
INVISIBLE	player	30	30.57	-60.6	1.53	1.2	-1	-1	0			0	1
INVISIBLE	player	9	28.56	-54.67	1.8	1.2	-1	-1	0			1	0
INVISIBLE	player	8	28.13	-31.25	1.2	1.2	-1	-1	0			1	0
INVISIBLE	player	1	28	-24	1.37	0.11	-1	-1	1.09			1	0
INVISIBLE	player	2	28	36.5	0.94	1.2	-1	-1	0			-1	0
THROUGH-ART	player	1	30	-77	6.57	0.5	1.13	1.63	1.2	sand_ring1		-1	0
INVISIBLE	player	1	30	-58	1.47	1.19	-1	-1	0.01			-1	0
INVISIBLE	player	1	30	-54	1.61	1.19	-1	-1	0.01			0	1
INVISIBLE	player	1	30	2	1.16	1.2	-1	-1	0			-1	0
INVISIBLE	player	82	35.78	15.17	1.01	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	30	6	0.84	1.2	2.11	2.11	0	sand_ring0		-1	0
INVISIBLE	player	1	30	18	0.71	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	30	22	0.71	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	30	26	0.97	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	31	17	0.69	1.2	-1	-1	0			-1	0
INVISIBLE	player	1	31	21	0.66	1.2	-1	-1	0			-1	0
INVISIBLE	player	3	32.67	-76.33	5.5	1.19	2.15	2.15	0.01	sand_ring1		0	1
THROUGH-ART	player	1	32	-65	2.92	0.86	1.04	1.9	1.19	sand_ring1		1	0
INVISIBLE	player	1	33	-41	1.48	1.12	-1	-1	0.08			0	-1
INVISIBLE	player	1	33	7	0.72	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	33	31	0.92	1.2	-1	-1	0			1	0
INVISIBLE	player	1	33	35	0.8	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	34	-78	3.8	1.17	1.37	1.37	0.03	sand_ring1		0	1
INVISIBLE	player	1	34	-51	2.08	0.5	-1	-1	0.7			0	-1
INVISIBLE	player	1	34	-49	2.04	0.5	-1	-1	0.7			0	1
INVISIBLE	player	1	34	-26	1.75	1.14	-1	-1	0.06			0	-1
INVISIBLE	player	1	34	-18	1.85	1.13	-1	-1	0.07			0	1
INVISIBLE	player	1	34	14	0.88	1.19	2.24	2.24	0.01	sand_ring0		1	0
INVISIBLE	player	1	34	18	0.75	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	34	22	0.7	1.19	-1	-1	0.01			1	0
INVISIBLE	player	1	34	30	0.95	1.2	-1	-1	0			1	0
INVISIBLE	player	1	34	34	0.85	1.2	-1	-1	0			0	-1
INVISIBLE	player	9	37.22	-71.11	3.28	1.16	-1	-1	0.04			0	1
THROUGH-ART	player	1	35	-70	4.4	1.33	0.93	2.26	1.2	sand_ring1		-1	0
INVISIBLE	player	1	35	29	1.03	1.2	-1	-1	0			1	0
INVISIBLE	player	1	35	33	0.93	1.2	-1	-1	0			0	-1
INVISIBLE	player	18	37	34.94	1.03	1.2	-1	-1	0			0	1
INVISIBLE	player	10	37.1	-76.3	2.06	0.54	-1	-1	0.66			0	1
INVISIBLE	player	1	36	-40	2.9	1.18	-1	-1	0.02			0	-1
INVISIBLE	player	3	37	-32	2.72	1.17	-1	-1	0.03			0	-1
INVISIBLE	player	1	36	-24	2.56	1.17	-1	-1	0.03			0	-1
INVISIBLE	player	4	37	-12.25	2.54	1.18	-1	-1	0.02			0	-1
INVISIBLE	player	1	37	-25	3.13	1.15	-1	-1	0.05			0	-1
THROUGH-ART	player	1	38	-44	4.37	0.31	1.13	1.44	1.2	sand_ring0		1	0
INVISIBLE	player	1	38	-26	3.74	1.15	-1	-1	0.05			0	-1
INVISIBLE	player	1	38	-14	3.77	1.18	-1	-1	0.02			0	-1
INVISIBLE	player	1	38	2	1.9	1.15	2.14	2.14	0.05	sand_ring0		0	-1
INVISIBLE	player	1	38	30	1.41	1.19	-1	-1	0.01			0	-1
